start_time:1616165579.432768 end_time:1616165737.0479572 during:157.61518907546997
通过最多 30 个跃点跟踪到 1.15.81.154 的路由

  1    21 ms     2 ms     1 ms  172.23.255.254 
  2     3 ms     2 ms     2 ms  100.64.128.1 
  3     2 ms     3 ms     2 ms  58.19.157.137 
  4     *        *        6 ms  58.19.113.102 
  5     *        *        *     请求超时。
  6     *        *        *     请求超时。
  7    20 ms    21 ms    20 ms  211.95.32.98 
  8    22 ms    25 ms    22 ms  220.196.196.14 
  9     *        *        *     请求超时。
 10     *        *        *     请求超时。
 11     *        *        *     请求超时。
 12     *        *        *     请求超时。
 13    18 ms    18 ms    19 ms  1.15.81.154 

跟踪完成。
